id,era_id,nom,icona,accions_trigger,text,opt1_nom,opt1_requereix,opt1_prob_exit,opt1_si_exit,opt1_si_fallada,opt1_sempre,opt1_desc,opt2_nom,opt2_requereix,opt2_prob_exit,opt2_si_exit,opt2_si_fallada,opt2_sempre,opt2_desc,notes
good_harvest,prehistoria,Collita Abundant,🍯,gather|plant_seeds|tend_crops,L'anyada ha estat excepcional. Més del que podeu menjar.,Emmagatzemar,,-,-,-,menjar:+20,Reserves per al futur.,Celebrar,,-,-,-,felicitat:+20|reputacio:+5,La tribu et recordarà.,""
rival_hunter,prehistoria,Caçador Rival,⚔️,hunt,Un altre caçador reclama el teu territori. La tensió és palesa.,Confrontar,physical:3,0.6,reputacio:+8|menjar:+12|felicitat:+10,salut:-15|reputacio:-5,-,Depèn de la força.,Cedir,,-,-,-,menjar:-8|felicitat:-10,Segur però humiliant.,""
injured_companion,prehistoria,Company Ferit,🩹,hunt|explore|lead_hunt,Un company ha caigut durant la sortida. El pots abandonar o ajudar.,Ajudar,,-,-,-,salut:-8|reputacio:+12|felicitat:+5,La tribu no oblida la generositat.,Continuar,,-,-,-,reputacio:-10|felicitat:-15,Sobreviuràs però a un cost.,""
harsh_winter,prehistoria,[global] Hivern Dur,🌨️,[global event],El fred arriba abans d'hora. Les reserves d'aliments s'esgoten.,Racionar,,-,-,-,menjar:-20|felicitat:-10|salut:-5,Sobreviureu just just.,Demanar ajuda,social:2,0.7,menjar:-10|felicitat:+5|reputacio:+3,menjar:-25|felicitat:-15,-,La tribu pot ajudar... o no.,globalEvents — no té accio_trigger
tribe_conflict,prehistoria,[global] Conflicte Tribal,🔥,[global event],Hi ha tensió a la tribu. La teva posició és clau per resoldre-ho.,Mediar,social:2,0.65,reputacio:+10|felicitat:+10,felicitat:-10|salut:-5,-,Si tens la paraula pots unir-los.,Ignorar,,-,-,-,reputacio:-8,-,No és el teu problema... ara.,globalEvents
found_herb,prehistoria,Herba Medicinal,🌱,gather,Trobes una planta desconeguda. Sembla útil però és arriscat provar-la.,Provar,,0.7,salut:+20|felicitat:+10,salut:-12,-,Pot curar o empitjorar.,Ignorar,,-,-,-,menjar:+3,-,La deixes estar.,""
found_shelter,prehistoria,Refugi Natural,🏔️,observe_nature|explore,Descobreixes una cova perfecta. Podria ser la nova llar de la tribu.,Establir-se,,-,-,-,salut:+10|reputacio:+5|felicitat:+10,Un bon refugi millora la vida.,Continuar,,-,-,-,menjar:+6,-,Continues buscant.,""
great_prey,prehistoria,Gran Presa,🦬,hunt|explore|lead_hunt|torch_hunt,Rastre d'una presa excepcional. Però la persecució serà perillosa.,Perseguir,physical:2,0.55,menjar:+35|reputacio:+8|felicitat:+15,salut:-20|menjar:-5,-,Recompensa enorme risc real.,Deixar-la,,-,-,-,menjar:+10,-,Caça menor però segura.,""
neighboring_tribe,prehistoria,Tribu Veïna,👥,explore|negotiate|trade_resources,Una tribu desconeguda s'apropa al vostre territori. Les seves intencions no estan clares.,Negociar,social:2,0.65,menjar:+20|reputacio:+12|felicitat:+10,felicitat:-8|reputacio:-5,-,Paraules obertes poden forjar una aliança.,Defensar,physical:2,0.6,reputacio:+10|felicitat:+5,salut:-15|menjar:-10,-,Mostreu força. Que se'n vagin.,""
epidemic,prehistoria,Epidèmia,🤧,care_home,Una malaltia s'escampa per la tribu. Alguns membres cauen malalts.,Aïllar malalts,,-,-,-,salut:-15|reputacio:-5|felicitat:-10,Contenciu la propagació al cost del benestar tribal.,Tractar-los,intelligence:2,0.6,salut:-8|reputacio:+10,salut:-25|reputacio:-8,-,Useu el vostre coneixement per curar. Arriscat però noble.,""
spiritual_vision,prehistoria,Visió Espiritual,✨,tell_stories|healing_ritual|spirit_ceremony|paint_cave,Durant el ritual una de les vostres veus una visió. Un misteri del món us parla.,Compartir la visió,,-,-,-,felicitat:+18|reputacio:+12,La tribu s'uneix al voltant del misteri.,Interioritzar,,-,-,-,felicitat:+10|salut:+5,-,Guardeu la visió per a vosaltres. La saviesa creix en silenci.,""
rival_suitor,prehistoria,Pretendent Rival,💔,find_partner,Un rival reclama la mateixa parella que tu. La tensió és palpable.,Competir,social:2,0.6,felicitat:+20|reputacio:+10,felicitat:-15|reputacio:-8,-,Demostreu el vostre valor. El cor tria.,Retirar-se,,-,-,-,felicitat:-12,-,La prudència a vegades és sàvia.,""
dangerous_prey,prehistoria,Presa Perillosa,🐯,hunt|lead_hunt|torch_hunt|hunt_mammoth|hunt_bison,La presa contraataca. De sobte la caça es torna en vostra contra.,Resistir,physical:3,0.55,menjar:+20|reputacio:+8|felicitat:+10,salut:-25,-,Feu front. O el domeu o us domina.,Retirar-se,,-,-,-,salut:-8|felicitat:-5,-,Salveu la vida. La presa queda lliure.,""
crop_failure,prehistoria,Plaga als Cultius,🪲,plant_seeds|tend_crops,Una plaga ataca els vostres cultius incipients. Cal actuar ràpid.,Combatre la plaga,intelligence:2,0.6,menjar:-5|felicitat:+5,menjar:-20|felicitat:-10,-,Useu el vostre coneixement agrícola.,Abandonar el camp,,-,-,-,menjar:-15|felicitat:-8,-,Deixeu anar i busqueu menjar d'altra manera.,""
